"repo","cg_source","excluded_files","graph_usable","total_functions","graph_nodes","graph_edges","graph_coverage_pct","llm_direct_invokers","llm_transitive_invokers","eval_direct_invokers","eval_transitive_invokers"
"phil65/agentpool","pyan_resilient","1","True","4685","6593","83864","140.7","104","1532","0","0"
"trpc-group/trpc-agent-python","pyan","0","True","15738","17801","282051","113.1","20","46","0","0"
"gizmax/Sandcastle","pyan_resilient","1","True","17247","17741","97258","102.9","2","954","0","0"
"NickCharlie/astrbot_plugin_self_learning","pyan_resilient","5","True","3728","4020","70161","107.8","4","734","0","0"
"lxfight-s-Astrbot-Plugins/astrbot_plugin_livingmemory","pyan","0","True","1566","1202","6635","76.8","1","31","0","0"
"lxfight/astrbot_plugin_mnemosyne","pyan","0","True","445","367","1314","82.5","1","30","0","0"
"GEMILUXVII/astrbot_plugin_jm_cosmos","pyan","0","True","334","254","845","76.0","0","0","0","0"
"Zhalslar/astrbot_plugin_parser","pyan","0","True","624","778","5046","124.7","0","0","0","0"
"arc53/DocsGPT","pyan_resilient","6","True","13117","13679","336392","104.3","6","3","0","0"
"zstar1003/ragflow-plus","pyan_resilient","1","True","1492","1893","14930","126.9","20","58","0","0"
"rush86999/atom","none","15","False","62578","0","0","0.0","7","0","0","0"
"symgraph/IDAssist","pyan","0","True","2185","2265","31239","103.7","5","4","0","0"
"awslabs/graphrag-toolkit","pyan_resilient","1","True","3904","4684","33704","120.0","0","0","0","0"
"kungfuai/CVlization","none","1","False","31460","0","0","0.0","16","0","0","0"
"agentstack-ai/AgentStack","pyan_resilient","29","True","824","751","8423","91.1","11","5","0","0"
"lupantech/AgentFlow","pyan","0","True","442","500","2379","113.1","11","12","0","0"
"ustc-ai4science/Science-Star","pyan","0","True","575","551","2339","95.8","5","1","0","0"
"FromCSUZhou/Econometrics-Agent","pyan","0","True","2274","2671","32423","117.5","13","170","0","0"
"EpicStaff/EpicStaff","none","37","False","10587","0","0","0.0","236","0","0","0"
"langflow-ai/langflow","pyan_resilient","3","True","30048","35479","611433","118.1","80","17054","0","0"
"bytedance/deer-flow","pyan_resilient","20","True","17902","19948","144883","111.4","160","9775","0","0"
"BerriAI/litellm","pyan_resilient","3","True","62962","76538","5682052","121.6","50","105","0","0"
"mlflow/mlflow","none","5","False","30022","0","0","0.0","211","0","3","0"
"marimo-team/marimo","pyan_resilient","25","True","17919","23747","670667","132.5","11","14624","0","0"
"angr/angr","none","0","False","15510","0","0","0.0","2","0","0","0"
"kdcube/kdcube-ai-app","pyan_resilient","4","True","18738","22712","1591747","121.2","39","13212","0","0"
"edictum-ai/edictum","pyan","0","True","2830","3475","27950","122.8","12","6","0","0"
"codeligence/dev-agents","pyan","0","True","1734","1892","10369","109.1","5","13","0","0"
"WenJinfeng/FaaSLight","none","0","False","553661","0","0","0.0","0","0","0","0"
"googleapis/python-aiplatform","none","1","False","76209","0","0","0.0","12","0","0","0"
"NVIDIA/SkillSpector","pyan","0","True","2730","3370","19852","123.4","17","404","0","0"
"johnson7788/MultiUserClaw","none","3","False","54090","0","0","0.0","22","0","0","0"
"synaptent/aragora","none","0","False","324407","0","0","0.0","30","0","0","0"
"Devsoul2026/Hermes-One-Click","none","3","False","47004","0","0","0.0","19","0","0","0"
"Yanyutin753/LambChat","pyan_resilient","6","True","8353","9906","105548","118.6","28","4031","0","0"
"Purewhiter/mobilegym","pyan_resilient","5","True","10724","13439","336876","125.3","39","4294","0","0"
"AsyncFuncAI/deepwiki-open","pyan","0","True","349","418","2093","119.8","4","12","0","0"
"OrionStarAI/DeepV-Ki","pyan","0","True","460","432","1533","93.9","6","5","0","0"
"Super-Chain/N8N-Genie","pyan","0","True","106","107","426","100.9","2","2","0","0"
"tmlr-group/AlphaApollo","pyan_resilient","1","True","2064","2287","30137","110.8","12","69","0","0"
"agentguard-ai/tealtiger","pyan_resilient","1","True","1768","1861","9374","105.3","16","2","0","0"
"pettingllms-ai/PettingLLMs","pyan_resilient","1","True","2831","3193","33888","112.8","13","149","0","0"
"ababdotai/awesome-agent-quickstart","pyan","0","True","407","418","1803","102.7","21","17","0","0"
"kenhuangus/ZeroTrustAgent","pyan","0","True","742","745","4372","100.4","3","0","0","0"
"runagent-dev/runagent","pyan","0","True","828","873","4637","105.4","47","40","0","0"
"fetchai/innovation-lab-examples","pyan_resilient","1","True","2671","2279","9151","85.3","77","171","0","0"
"ericjiang18/Agent-Q-Mix","none","7","False","17575","0","0","0.0","2268","0","0","0"
"datastax/astra-assistants-api","pyan_resilient","8","True","3423","3202","8091","93.5","2","0","0","0"
"VRSEN/agency-swarm-api-railway-template","pyan","0","True","10","20","62","200.0","0","0","0","0"
"huka81/decision-intelligence-runtime","pyan","0","True","1226","1266","10831","103.3","4","5","0","0"
"aivrar/portable-hermes-agent","none","3","False","56371","0","0","0.0","22","0","0","0"
"oceanbase/powerrag","pyan_resilient","2","True","5864","7390","65792","126.0","20","110","0","0"
"nolabs-ai/AgentUp","pyan","0","True","2495","2759","32294","110.6","2","3","0","0"
"upsidelab/enthusiast","pyan","0","True","924","1482","14793","160.4","6","10","0","0"
"wesleysimplicio/hermes-turbo-agent","none","0","False","0","0","0","0.0","0","0","0","0"
"langchain-ai/open-swe","pyan","0","True","4117","3947","11959","95.9","10","14","0","0"
"IPADS-SAI/MobiAgent","pyan_resilient","1","True","1086","901","2990","83.0","42","37","0","0"
"mnemosyne-oss/mnemosyne","pyan_resilient","1","True","4861","5958","110284","122.6","1","19","0","0"
"HUST-AI-HYZ/MemoryAgentBench","pyan_resilient","1","True","3762","5232","67649","139.1","64","1254","2","0"
"nativ3ai/hermes-agent-camel","none","6","False","29667","0","0","0.0","18","0","0","0"
"oceanbase/obdiag","pyan_resilient","1","True","3786","3925","38206","103.7","3","181","0","0"
"agiresearch/AIOS","pyan_resilient","1","True","1518","1328","13001","87.5","4","11","0","0"
"oracle/wayflow","pyan_resilient","3","True","5396","7453","119552","138.1","8","0","0","0"
"yaalalabs/agent-kernel","pyan","0","True","3501","3982","47799","113.7","33","37","1","127"
"avibe-bot/avibe","none","8","False","22236","0","0","0.0","0","0","0","0"
"modelscope/evalscope","pyan_resilient","3","True","7340","9409","301918","128.2","11","4145","1","1"
"agntcy/agentic-apps","pyan","0","True","303","338","1132","111.6","7","6","0","0"
"google/adk-samples","pyan_resilient","1","True","8933","9124","30875","102.1","0","0","4","0"
"EvoScientist/EvoScientist","pyan_resilient","3","True","6412","7159","63292","111.7","31","2841","0","0"
"chaosblade-io/chaosblade","pyan","0","True","6017","6044","33307","100.4","37","3234","0","0"
"Alex8791-cyber/cognithor","none","2","False","29560","0","0","0.0","1","0","0","0"
"getsentry/sentry","none","2","False","63999","0","0","0.0","0","0","0","0"
"femto/minion","pyan","0","True","1594","1858","22263","116.6","7","5","0","0"
"apache/airflow","none","2","False","56075","0","0","0.0","19","0","0","0"
"shibing624/agentica","pyan_resilient","1","True","7548","8889","125703","117.8","11","75","0","0"
"shellphish/artiphishell","none","0","False","8666","0","0","0.0","19","0","0","0"
"NJUxlj/Travel-Agent-based-on-Qwen2-RLHF","pyan","0","True","570","507","4812","88.9","13","22","0","0"
"marcgs/lob-agent-evaluation","pyan","0","True","128","158","673","123.4","4","9","0","0"
"mcasalaina/QuestionnaireAgent_v3","pyan","0","True","680","658","3495","96.8","8","167","0","0"
"neo4j-labs/agent-memory","pyan","0","True","4808","5390","45458","112.1","8","65","0","0"
"Azure/contentflow","pyan","0","True","976","1257","7518","128.8","19","99","0","0"
"PlagueHO/microsoft-foundry-jumpstart","pyan","0","True","856","661","3385","77.2","13","19","0","0"
"AzulClaw/AzulClaw-Core","pyan_resilient","2","True","1355","1333","13017","98.4","10","538","0","0"
"Azure/gpt-rag-orchestrator","pyan","0","True","1282","1311","6605","102.3","13","52","0","0"
"oracle/agent-spec","pyan","0","True","2316","3255","20422","140.5","84","13","0","0"
"pratikxpanda/agentskills-sdk","pyan","0","True","1153","1344","4285","116.6","12","0","0","0"
"Rishabh-Bajpai/Chanakya-Local-Friend","pyan_resilient","1","True","1709","2013","20609","117.8","24","382","0","0"
"microsoft/spec-to-agents","pyan","0","True","106","116","297","109.4","5","37","0","0"
"Azure-Samples/Prism-Transform-Data-into-Queryable-Knowledge","pyan","0","True","352","359","1417","102.0","2","12","0","0"
"neo4j-labs/neo4j-maf-provider","pyan","0","True","182","182","564","100.0","0","0","0","0"
"microsoft/Sico","none","41","False","3829","0","0","0.0","3","0","0","0"
"Azure-Samples/agent-architecture-review-sample","pyan","0","True","192","164","413","85.4","0","0","0","0"
"aymenfurter/slidefinder","pyan","0","True","384","385","1843","100.3","9","29","0","0"
"Yagami360/ai-product-dev-tips","pyan","0","True","1534","1126","11410","73.4","18","0","1","0"
"microsoft/content-generation-solution-accelerator","pyan_resilient","1","True","724","625","1682","86.3","7","46","0","0"
"Qredence/agentic-fleet","pyan_resilient","2","True","1899","2007","15030","105.7","33","95","0","0"
"bonigarcia/context-engineering","pyan_resilient","1","True","379","338","898","89.2","61","9","2","0"
"microsoft/Prior-Authorization-Multi-Agent-Solution-Accelerator","pyan","0","True","127","147","454","115.7","4","0","0","0"
"UiPath/uipath-integrations-python","pyan","0","True","2035","2007","7466","98.6","55","91","0","0"
"opinionated-systems/markspace","pyan_resilient","1","True","902","1220","7041","135.3","1","1","0","0"
"Scottcjn/rustchain-bounties","pyan_resilient","4","True","2037","1837","4496","90.2","7","10","0","0"
"microsoft/Agent365-python","pyan","0","True","1490","1517","14621","101.8","15","0","0","0"
"microsoft/Conversation-Knowledge-Mining-Solution-Accelerator","pyan","0","True","636","813","6153","127.8","14","382","0","0"
"Azure-Samples/holiday-peak-hub","pyan_resilient","2","True","4801","5469","33931","113.9","6","1","0","0"
"microsoft/Build26-LAB520-get-started-with-models-in-microsoft-foundry-to-build-ai-apps","pyan","0","True","40","42","67","105.0","0","0","0","0"
"sola-st/RepairAgent","pyan_resilient","2","True","1452","2069","29115","142.5","8","337","0","0"
"skynetcmd/m3-memory","pyan_resilient","1","True","6527","6522","22085","99.9","12","1","0","0"
"Significant-Gravitas/AutoGPT","none","4","False","19379","0","0","0.0","21","0","0","0"
"nduckmink/arkon","pyan","0","True","810","959","22344","118.4","5","3","0","0"
"Skyvern-AI/skyvern","none","3","False","32122","0","0","0.0","6","0","0","0"
"Checkmk/checkmk","none","2","False","61211","0","0","0.0","0","0","0","0"
"IBM/ibm-watsonx-orchestrate-adk","pyan_resilient","1","True","5099","6495","179965","127.4","8","3985","0","0"
"af-74413592/DeepWerewolf","pyan","0","True","505","574","2453","113.7","17","12","0","0"
"Azure/agentops","pyan","0","True","2601","2858","14407","109.9","1","0","0","0"
"lupantech/Eubiota","pyan","0","True","578","643","3062","111.2","11","12","0","0"
"LINs-lab/MASArena","pyan","0","True","969","1035","12089","106.8","29","443","0","0"
"timbal-ai/timbal","pyan","0","True","8713","13308","746511","152.7","36","6","0","0"
"sahiee-dev/Tesserae","pyan","0","True","468","490","2262","104.7","0","0","0","0"
"MervinPraison/PraisonAI-Tools","pyan_resilient","1","True","2823","2908","98063","103.0","10","1850","0","0"
"kyryl-opens-ml/ml-in-production-practice","pyan","0","True","213","157","376","73.7","5","4","0","0"
"AgentToolkit/agent-mentor","pyan_resilient","1","True","1846","2197","23473","119.0","17","18","0","0"
"meth04/vn_stock_rag","pyan","0","True","100","100","246","100.0","4","6","2","0"
"szczyglis-dev/py-gpt","pyan","0","True","12848","12956","522675","100.8","28","8156","0","0"
"techloset/agentic-ai","none","0","False","281","0","0","0.0","50","0","0","0"
"modbender/skill-library-mcp","none","41","False","90869","0","0","0.0","85","0","1","0"
"Scale3-Labs/langtrace-python-sdk","pyan","0","True","736","926","7774","125.8","46","26","0","0"
"LeapLabTHU/cooragent","pyan","0","True","256","390","1956","152.3","14","22","0","0"
"microsoft/Agents-for-python","pyan","0","True","6214","8382","79270","134.9","1","0","0","0"
"cisco-ai-defense/ai-defense-python-sdk","pyan","0","True","3590","4106","54212","114.4","18","41","0","0"
"zyhuang-gif/agent_project","pyan","0","True","690","840","2980","121.7","7","49","0","0"
"cloudera/CAI_STUDIO_AGENT","pyan_resilient","2","True","964","987","9014","102.4","1","2","0","0"
"Azure/azure-sdk-for-python","none","5","False","287486","0","0","0.0","331","0","0","0"
"CoDS-GCS/Chatty-KG","pyan","0","True","429","383","3026","89.3","13","36","0","0"
"sourangshupal/Agentic-RAG-project","pyan","0","True","462","550","2321","119.0","8","35","0","0"
"srtab/daiv","pyan_resilient","2","True","5805","6512","32239","112.2","35","788","0","0"
"vstorm-co/pydantic-deepagents","pyan_resilient","1","True","4525","5104","29031","112.8","32","1943","0","0"
"kyaukyuai/gpt-all-star","pyan","0","True","227","247","1190","108.8","5","91","0","0"
"The-Swarm-Corporation/swarms-client","pyan_resilient","2","True","886","1112","11893","125.5","0","0","0","0"
"benseverndev-oss/goldenmatch","none","8","False","24800","0","0","0.0","15","0","0","0"
"UiPath/uipath-langchain-python","pyan_resilient","4","True","3942","4354","35766","110.5","86","2083","0","0"
"snowsky/yourfinanceworks","none","5","False","10064","0","0","0.0","5","0","0","0"
"cuga-project/cuga-agent","pyan_resilient","2","True","5923","7087","177548","119.7","140","4022","0","0"
"erfanzar/Xerxes-Agents","none","0","False","0","0","0","0.0","0","0","0","0"
"Larens94/codedna","pyan","0","True","2584","2598","18235","100.5","8","32","0","0"
"neatlogs/neatlogs","pyan","0","True","1415","1796","12523","126.9","147","31","0","0"
"ezyang/codemcp","pyan","0","True","283","351","923","124.0","1","1","0","0"
"mindroom-ai/mindroom","none","4","False","23975","0","0","0.0","30","0","0","0"
"manthanguptaa/water","pyan","0","True","2292","2541","26029","110.9","20","0","0","0"
"justinlietz93/Cogito","pyan","0","True","1603","1949","12945","121.6","3","587","0","0"
"Rimuwu/DinoGochi","pyan_resilient","2","True","2282","2779","42679","121.8","4","7","0","0"
"NuGuardAI/nuguard","pyan","0","True","6726","8720","107337","129.6","17","226","0","0"
"bibinprathap/VeritasGraph","pyan_resilient","17","True","8609","9996","313552","116.1","14","5812","0","0"
"conveyordata/data-product-portal","pyan","0","True","5152","5371","138029","104.3","0","0","0","0"
"BluePilotDev/bluepilot","none","0","False","8299","0","0","0.0","0","0","0","0"
"AdventurePilotDev/AdventurePilot","none","0","False","7071","0","0","0.0","0","0","0","0"
"dhruv-ahuja/backend_burger","pyan","0","True","153","183","1027","119.6","0","0","0","0"
"braintrustdata/braintrust-sdk-python","none","0","False","4694","0","0","0.0","155","0","0","0"
"accelero-cloud/appkernel","pyan_resilient","2","True","1159","1172","7548","101.1","0","0","0","0"
"alibaba/loongsuite-python","pyan_resilient","2","True","12028","12952","88193","107.7","147","25","0","0"
"semantica-agi/semantica","pyan_resilient","7","True","9971","11480","432489","115.1","12","7317","0","0"
"adafruit/Adafruit_Blinka","pyan","0","True","857","957","69634","111.7","0","0","0","0"
"chattermate/chattermate.chat","pyan","0","True","5279","5941","266305","112.5","11","243","0","0"
"hasanmehediii/CSE-2216-Project","pyan","0","True","32","42","107","131.2","0","0","0","0"
"uriyyo/fastapi-pagination","pyan","0","True","563","794","5353","141.0","0","0","0","0"
"soliplex/soliplex","pyan","0","True","2641","2462","16919","93.2","23","7","0","0"
"TencentBlueKing/bk-aidev-agent","pyan","0","True","4483","5226","38080","116.6","125","437","0","0"
"Serverless-Devs/agentrun-sdk-python","pyan","0","True","6724","7970","114204","118.5","41","16","0","0"
"Wh1isper/ya-mono","pyan_resilient","1","True","7751","9095","104886","117.3","74","1791","0","0"
"YasodGinige/AutoPentester","pyan","0","True","175","166","1351","94.9","2","0","0","0"
"hepai-lab/hepai","none","0","False","3297","0","0","0.0","35","0","0","0"
"mpfaffenberger/code_puppy","pyan_resilient","3","True","11496","12193","113827","106.1","13","7577","0","0"
"EDEAI/NexusAI","pyan_resilient","1","True","3811","5887","126777","154.5","12","21","0","0"
"Cisco-Talos/PEAK-Assistant","pyan","0","True","524","539","1968","102.9","14","88","0","0"
"mutx-dev/mutx-dev","pyan_resilient","7","True","6774","7459","141749","110.1","27","149","0","0"
"ccbogel/QualCoder","pyan_resilient","4","True","3470","3380","23980","97.4","2","8","0","0"
"maseval/MASEval","pyan","0","True","4156","4837","38571","116.4","46","18","0","0"
"mycustomai/ACES","pyan","0","True","711","808","3214","113.6","4","25","0","0"
"vertelab/odoo-ai","pyan","0","True","2238","2320","40023","103.7","39","30","0","0"
"microsoft/semanticworkbench","pyan_resilient","1","True","2999","4205","37998","140.2","36","430","0","0"
"wenhaochai/aurora","pyan_resilient","4","True","6896","7587","109723","110.0","29","1250","0","0"
"iii-org/akasha","pyan_resilient","1","True","735","821","5111","111.7","34","229","0","0"
"PostHog/posthog","none","1","False","154620","0","0","0.0","347","0","0","0"
"ggozad/oterm","pyan","0","True","798","1009","8003","126.4","2","0","0","0"
"hsliuping/TradingAgents-CN","pyan_resilient","2","True","5073","5196","30363","102.4","66","1188","0","0"
"mozilla-ai/agent-factory","pyan","0","True","214","181","537","84.6","0","0","0","0"
"mozilla-ai/surf-spot-finder","pyan","0","True","41","39","131","95.1","0","0","0","0"
"mozilla-ai/mcpd-sdk-python","pyan","0","True","245","276","808","112.7","0","0","0","0"
"i-am-bee/agentstack","pyan_resilient","2","True","2087","2816","31872","134.9","8","0","0","0"
"kagenti/adk","pyan_resilient","2","True","1980","2649","29345","133.8","5","0","0","0"
"packit/ai-workflows","pyan_resilient","1","True","1774","2261","15775","127.5","0","0","0","0"
"SolaceLabs/solace-agent-mesh-core-plugins","pyan","0","True","1817","1700","4845","93.6","0","0","0","0"
"marcelo-earth/generative-manim","pyan","0","True","435","397","798","91.3","8","6","0","0"
"max2star/ragforge","pyan_resilient","2","True","2016","2571","24053","127.5","30","71","0","0"
"alibaizhanov/mengram","pyan","0","True","846","1212","8976","143.3","11","13","0","0"
"logamee/lin-cms-flask","pyan","0","True","380","529","4688","139.2","0","0","0","0"
"4teamwork/opengever.core","none","41","False","21495","0","0","0.0","0","0","0","0"
"GoogleCloudPlatform/cloud-learning-platform","pyan","0","True","4644","6284","128796","135.3","1","14","0","0"
"MGdaasLab/WHartTest","pyan_resilient","1","True","3354","3713","17676","110.7","13","83","0","0"
"globocom/GloboNetworkAPI","none","41","False","4841","0","0","0.0","0","0","0","0"
"jxxghp/MoviePilot","pyan_resilient","8","True","13367","15485","549853","115.8","15","9782","0","0"
"ai-bot-pro/achatbot","pyan_resilient","2","True","5956","6453","51765","108.3","14","15","0","0"
"GoogleCloudPlatform/terraform-genai-rag","pyan","0","True","301","336","1281","111.6","6","11","0","0"
"theexperiencecompany/gaia","pyan_resilient","3","True","19037","22121","334774","116.2","140","12017","1","20"
"SilvioBaratto/optimizer","pyan_resilient","1","True","10700","11331","58957","105.9","0","0","0","0"
"aiteachme/AITeachMe","none","41","False","5535","0","0","0.0","1","0","0","0"
"ui-insight/vandalizer","pyan","0","True","6108","6532","119121","106.9","27","467","0","0"
"HKUSTDial/DeepEye","pyan_resilient","1","True","1769","2068","12344","116.9","24","84","0","0"
"Rvosy/Sakura","pyan_resilient","3","True","6499","6976","88730","107.3","52","2906","0","0"
"notadev-iamaura/OneRAG","pyan","0","True","6935","7571","109980","109.2","10","3914","0","0"
"hpcaitech/ColossalAI","pyan_resilient","15","True","10358","11946","346033","115.3","16","23","0","0"
"basicmachines-co/basic-memory","none","6","False","10341","0","0","0.0","2","0","0","0"
"tendenci/tendenci","pyan","0","True","6219","8678","806491","139.5","0","0","0","0"
"apache/burr","pyan_resilient","3","True","2458","2658","37380","108.1","53","161","0","0"
"siddsachar/row-bot","none","6","False","11609","0","0","0.0","123","0","0","0"
"awslabs/llm-evaluation-system","pyan","0","True","1538","1577","4700","102.5","5","1","1","1"
"cladius/agentic-ai","pyan_resilient","1","True","373","349","1331","93.6","41","22","0","0"
"THUIR/MemoryBench","pyan_resilient","1","True","6266","6940","48846","110.8","165","2643","0","0"
"dimagi/open-chat-studio","pyan_resilient","3","True","10950","14572","867449","133.1","55","7818","0","0"
"GrandComicsDatabase/gcd-django","pyan","0","True","3061","3722","120261","121.6","0","0","0","0"
"The-School-of-AI/Arcturus","pyan_resilient","1","True","4806","5532","107763","115.1","3","3035","0","0"
"cognizant-ai-lab/neuro-san-studio","pyan","0","True","1823","1798","13373","98.6","13","307","0","0"
"Aggregate-Intellect/sherpa","pyan","0","True","1112","1261","9681","113.4","33","447","0","0"
"Gianthard-cyh/ValiRef","pyan","0","True","634","750","2561","118.3","7","4","0","0"
"martinapugliese/askademic","pyan","0","True","102","104","306","102.0","10","3","0","0"
"LearningCircuit/local-deep-research","none","2","False","43587","0","0","0.0","104","0","0","0"
"agiresearch/Cerebrum","pyan_resilient","1","True","1533","1774","7518","115.7","6","2","0","0"
"OpenDataBox/Workspace-Bench","pyan","0","True","6365","6930","38756","108.9","180","1529","0","0"
"EvoAgentX/EvoAgentX","pyan","0","True","3270","4265","79424","130.4","6","4","0","0"
"InternLM/xtuner","pyan_resilient","1","True","5352","7112","288240","132.9","0","0","0","0"
"chatchat-space/Langchain-Chatchat","pyan","0","True","927","1266","7747","136.6","16","12","0","0"
"flepied/second-brain-agent","pyan","0","True","83","68","153","81.9","0","0","0","0"
"xt765/LangChain-Chinese-Comment","none","0","False","10393","0","0","0.0","1282","0","0","0"
"Clhikari/astrbot_plugin_office_assistant","pyan","0","True","1645","1982","21184","120.5","0","0","0","0"
"FlanChanXwO/astrbot_plugin_status","pyan_resilient","1","True","191","168","574","88.0","1","2","0","0"
"qa296/astrbot_plugin_memora_connect","pyan","0","True","533","514","2101","96.4","7","14","0","0"
"1-20182/astrbot_plugin_phigros","pyan_resilient","3","True","483","396","1228","82.0","0","0","0","0"
"Renyus/astrbot_plugin_self_evolution","none","0","False","1511","0","0","0.0","7","0","0","0"
"0xNMLSS/astrbot_plugin_fishing","pyan","0","True","1420","1394","6834","98.2","0","0","0","0"
